,name,price(eur),score,reviews_amount,review
112,Perlas Cokolyje,57.0,7.3,12,Good
113,Mar Baltico Palanga Apartment,92.0,9.6,24,Exceptional
114,"Nendres 8, Palanga, Kunigiškės, Kunigiškiai",65.0,9.8,47,Exceptional
115,Apartamentai Palangos centre,36.0,8.3,79,Very Good
116,Kurortas Apartments,72.0,8.8,61,Excellent
117,Sveciu namai Audra,63.0,8.7,243,Excellent
118,Apartamentai Palangos centre,36.0,8.3,79,Very Good
119,Kurortas Apartments,72.0,8.8,61,Excellent
120,Sveciu namai Audra,63.0,8.7,243,Excellent
121,All Seasons Palanga Apartaments,77.0,9.2,754,Wonderful
122,Vytauto apartamentai,83.0,9.1,24,Wonderful
123,Apart residences by the sea,152.0,8.5,203,Very Good
124,Holiday Palanga Sea Side,63.0,8.9,98,Excellent
125,For you,56.0,9.1,43,Wonderful
126,My family,82.0,9.5,151,Exceptional
127,Poilsio Laboratorija 3K,61.0,9.0,36,Wonderful
128,Apartamentai Liepų take,116.0,9.8,24,Exceptional
129,Alanga apartments,64.0,9.6,8,Exceptional
130,Vila Vakaré,63.0,8.5,137,Very Good
131,Green House,127.0,8.8,44,Excellent
132,Palanga-Apartamentai,81.0,9.3,28,Wonderful
133,Butukai,40.0,9.0,122,Wonderful
134,Apartment Amber Wind,65.0,9.3,65,Wonderful
135,GreenRoom Kunigiškės,102.0,9.6,98,Exceptional
136,Svečių Apartamentai Vanagupėje,41.0,9.3,89,Wonderful
137,Vila Romantika,70.0,9.8,156,Exceptional
138,JANINA,53.0,10.0,1,Exceptional
139,Comfort Hostel Palanga,122.0,8.6,35,Excellent
140,Medziotoju Apartments,73.0,9.6,115,Exceptional
141,Andzelos Apartament,38.0,8.5,53,Very Good
142,Bella luna vila Palanga with forest view,108.0,9.8,6,Exceptional
143,Geltoni apartamentai,44.0,9.5,162,Exceptional
144,BIMBA,153.0,9.5,45,Exceptional
145,Apartamentai Druskininkų 7B,58.0,9.6,300,Exceptional
146,Sveciu Namas 9,70.0,9.3,118,Wonderful
147,Grey Red Apartments,66.0,9.4,82,Wonderful
148,Mėguvos butai,67.0,8.6,53,Excellent
149,NeriesApartment No.2 Bedrooms Modern Suite In Centrum,89.0,9.4,61,Wonderful
150,Amsterdam Residence Hotel,63.0,9.2,16,Wonderful
151,Amber drop,62.0,9.7,344,Exceptional
152,Black Gold Apartments,126.0,9.5,4,Exceptional
